id,type,metric,RMSE,MAE,K
191,item,pearson,0.9244406096074893,0.7048101224642688,64
192,item,cosine,0.921705474608278,0.7064040032001235,65
193,item,msd,0.9120979847451313,0.6984751254143159,65
194,item,pearson,0.9237289413612597,0.7037260707237085,65
195,item,cosine,0.9213722008919586,0.7061004353771171,66
196,item,msd,0.9131258765527187,0.6991338813016574,66
197,item,pearson,0.9238657260668621,0.7036795835084254,66
198,item,cosine,0.9208315583727767,0.7059668527789129,67
199,item,msd,0.9113552808536791,0.6979112395059344,67
200,item,pearson,0.9245032430016978,0.7047184860932959,67
201,item,cosine,0.9217941552079096,0.7062639828395826,68
202,item,msd,0.9121232550300877,0.6979846261243903,68
203,item,pearson,0.9241840609582302,0.7043459879255718,68
204,item,cosine,0.9221837584445168,0.7067408013599927,69
205,item,msd,0.9113137273317055,0.698139393034421,69
206,item,pearson,0.9248040438206981,0.7043321869473972,69
207,item,cosine,0.9212556384887473,0.7055016107465485,70
208,item,msd,0.911192496689593,0.6975635997247762,70
209,item,pearson,0.9237597627247203,0.7036534613378737,70
210,item,cosine,0.9230679497781906,0.707165320829465,71
211,item,msd,0.9124828549949331,0.6980255582718862,71
212,item,pearson,0.9238153923010233,0.7038403873894731,71
213,item,cosine,0.9219438189797391,0.7065709753283375,72
214,item,msd,0.9128533739668431,0.6987775452431728,72
215,item,pearson,0.9251087204569272,0.704191311257241,72
216,item,cosine,0.9214803937770502,0.7066703123095054,73
217,item,msd,0.9123926715143972,0.6984656119795536,73
218,item,pearson,0.9244393148336503,0.7040652680310105,73
219,item,cosine,0.9219504146130685,0.7062221180337243,74
220,item,msd,0.9121497537288743,0.6980498940899861,74
221,item,pearson,0.9260408331296995,0.7047188947951178,74
222,item,cosine,0.9206713772222168,0.7055919074279549,75
223,item,msd,0.9128021618346522,0.6982703285588098,75
224,item,pearson,0.9237850538882764,0.7035573949720095,75
225,item,cosine,0.9203756929922718,0.7051965616047242,76
226,item,msd,0.9118850953245596,0.6974563898978033,76
227,item,pearson,0.9239135744746395,0.7036598851990373,76
228,item,cosine,0.9205250052780981,0.7052983581192146,77
229,item,msd,0.910705066091295,0.6977115077828054,77
230,item,pearson,0.9223143111357093,0.7025778040227744,77
231,item,cosine,0.9188743833965137,0.7040988976479837,78
232,item,msd,0.9102735890334974,0.6964690874533681,78
233,item,pearson,0.9248838341685985,0.704440360475212,78
234,item,cosine,0.9213450196833481,0.705881684330147,79
235,item,msd,0.9119788688710262,0.6976624887999006,79
236,item,pearson,0.9230910713136609,0.7032769225688288,79
